calibration_bin,customers,avg_predicted_churn_probability,observed_churn_rate,calibration_gap
1,24274,0.00020450748197167105,0.0,-0.00020450748197167105
2,24274,0.00027591932790357486,4.119634176485128e-05,-0.00023472298613872358
3,24274,0.0003371445252916145,0.00012358902529455384,-0.00021355549999706067
4,24274,0.0014964953821405816,0.0005355524429430667,-0.0009609429391975149
5,24274,0.00550680302943713,0.0051083463788415585,-0.0003984566505955715
6,24274,0.007789289082460228,0.007868501277086595,7.921219462636662e-05
7,24274,0.009999818692461622,0.009145587871796984,-0.0008542308206646379
8,24274,0.01633671055388671,0.015160253769465271,-0.0011764567844214403
9,24274,0.06535034760869078,0.06471945291258137,-0.0006308946961094131
10,24274,0.7941930648219748,0.7966960533904589,0.002502988568484077
