feature,importance_mean,importance_std
trailing_3mo_revenue,0.04931389738613223,0.0004740646042439274
latest_is_cancel,0.04855355470989505,0.00018435753066534542
avg_paid_per_day,0.021727336086088716,0.0001404378953265215
is_auto_renew,0.01038276168632842,0.0003969046423278217
tenure_months,0.00791509071000159,0.00011283360238258199
trailing_3mo_engagement_score,0.005090352434621526,0.0006740347862516447
city,0.003441048283146434,0.00021306980370453224
monthly_list_price,0.0029316965138461346,0.0003500401088869983
avg_plan_days,0.002565787280098042,0.0001120234354807684
registered_via,0.0022377337318661614,4.25648774698553e-05
latest_is_auto_renew,0.0018215860803953248,0.00014195785414530948
total_plays,0.0016925380938175305,0.00016685249141708174
active_days,0.0010217682061437101,0.00020768738569007771
monthly_revenue,0.0007974271653257518,0.0003055873895651551
latest_actual_amount_paid,0.0005009054919030328,0.00014869187122119144
gender,0.0003340923515634901,0.0002516699347599699
revenue_change_pct,0.00023360881006210624,4.123403400397642e-05
total_secs,0.00016369817737715842,0.00011428723397572395
completion_rate_proxy,0.00013250831141864428,7.756294706703503e-05
had_cancel,0.00010947971548188236,6.0120971268038165e-05
latest_plan_list_price,7.546324696446523e-05,4.2391787188774846e-05
latest_payment_plan_days,6.300004208718384e-05,4.268798413428593e-05
max_plan_days,2.9137812855258478e-05,1.5503902323280043e-05
no_recent_activity_flag,1.993375114210198e-05,1.54924920964634e-05
cancellation_signal_flag,1.86394823546987e-05,2.2288652457764314e-05
engagement_score,1.5336749827380796e-05,0.00010819440794403742
num_unq,9.978611168840837e-06,0.00011112966832004499
lifecycle_stage,9.599719010859134e-06,5.138286781013198e-05
monthly_discount_amount,3.218906828491204e-07,7.762315459115626e-06
major_activity_drop_flag,0.0,0.0
engagement_tier,0.0,0.0
engagement_change_pct,0.0,0.0
trailing_3mo_active_days,0.0,0.0
had_discount,0.0,0.0
activity_change_pct,0.0,0.0
transaction_count,-1.677184578852131e-05,1.5743314262920095e-06
revenue_tier,-3.479101797313847e-05,0.0001084416970328276
age,-8.786945036654004e-05,3.72021879231697e-05
