lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,retention_budget_tier,customers,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_profit_adjusted_clv_proxy
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,14690,0.8140968161436875,0.817426820966644,72578474.78916667,66933351.1925,4940.672211651918
Established,High engagement,High revenue,Elite value,Critical risk,Premium save budget,7391,0.8154135054039683,0.8193749154376945,27177197.255,24622967.525,3677.0663313489376
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,2367,0.9189278175432746,0.9286016054076891,9732401.174166666,9551678.76,4111.70307315871
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,Premium save budget,2865,0.5220943321851027,0.5256544502617801,5516467.9375,3826643.275,1925.4687390924955
Established,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,1039,0.8961426031944747,0.9056785370548605,2773199.1841666666,2680643.4741666666,2669.1041233557908
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Low-cost save budget,3666,0.7166563654000322,0.7244953627932351,3612146.904166667,2584617.0458333334,985.3101211583925
Long-tenure,High engagement,Medium revenue,High value,Critical risk,Moderate save budget,3267,0.7980298212809889,0.8062442607897153,3179716.2475,2497911.6175,973.2832101316193
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,1477,0.9034883142907447,0.906567366283006,2096997.955,1893994.5483333333,1419.7684190927557
Long-tenure,High engagement,High revenue,Elite value,High risk,Premium save budget,21809,0.06483540044308596,0.06272639735888853,30870258.683333334,1851637.125,1415.4825385544195
New customer,High engagement,High revenue,Elite value,Critical risk,Premium save budget,419,0.9063085147500589,0.9093078758949881,1634239.035,1556902.945,3900.331825775656
Long-tenure,High engagement,Medium revenue,High value,High risk,Moderate save budget,35210,0.03415158829969047,0.036523714853734734,40914655.3725,1352287.495,1162.0180452286284
Long-tenure,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,32245,0.0323518966742818,0.0327182508916111,36250819.85416667,1109278.2891666668,1124.230728924381
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,Premium save budget,1362,0.7640606715594137,0.7812041116005873,1403639.1525,1023437.7075,1030.5720649779737
Established,High engagement,High revenue,Elite value,High risk,Premium save budget,16438,0.05210673046280277,0.047998539968365984,20881249.61,911713.6925,1270.303541185059
Established,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,1095,0.9153417885703481,0.9205479452054794,941179.8066666668,814373.8416666667,859.5249375951295
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,1555,0.9831212427594747,0.9877813504823151,825523.0750000001,813564.5050000001,530.8830064308682
