lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,customers,future_churn_rate,avg_monthly_value_baseline,avg_profit_adjusted_clv_proxy,total_profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate
Long-tenure,High engagement,High revenue,Elite value,64337,0.21130919999378273,348.6593302972369,2265.309283188462,145743203.3524961,69125005.52750029,14.455862692654584,20.675567713757246,0.6366476522063509,0.14666521597214666
Established,High engagement,High revenue,Elite value,30134,0.2286121988451583,323.2342868520608,1879.8343550474751,56646928.45500062,25596805.260000087,14.42243507313352,20.441262361452182,0.5954735514701002,0.15560496449193603
Long-tenure,High engagement,No observed revenue,Elite value,2341,0.9290901324220419,701.4983625231382,4146.997385376617,9708120.87916666,9529771.289999995,14.578614459205038,21.40837249038872,0.026057240495514736,0.02093122597180692
Long-tenure,High engagement,Medium revenue,High value,124683,0.035321575515507325,149.0,1212.0221371598957,151118556.12750727,4472402.252499997,14.281454380125822,19.55767025175846,0.9309047745081527,0.012078631409253868
Long-tenure,High engagement,Medium revenue,Core value,103171,0.040205096393366356,142.7471285535664,1162.9151405999423,119979117.97083664,4177921.799999993,14.220483770154049,19.323026819552005,0.9456630254625815,0.010671603454459102
Early lifecycle,High engagement,High revenue,Elite value,10176,0.1775746855345912,252.43189858490567,1402.0848218848184,14267615.147499911,4165505.467500002,14.423789848497474,20.33628144654088,0.6480935534591195,0.09787735849056604
Established,High engagement,No observed revenue,Elite value,1026,0.9005847953216374,507.5383365821962,2692.8228403183903,2762836.2341666683,2667452.5041666673,14.622322258069472,21.703703703703702,0.009746588693957114,0.009746588693957114
Long-tenure,High engagement,Medium revenue,Elite value,48634,0.03581856314512481,152.01816973036694,1233.9701501520626,60012904.28249542,1798601.6966666663,14.307033064837524,19.6705391290044,0.9196241312661924,0.011781880988608792
Long-tenure,No observed activity,High revenue,Elite value,2553,0.526831179005092,257.19584802193486,1235.2002575401564,3153466.2575000194,1757053.6641666568,0.0,0.0,0.9800235017626322,0.37054445750097925
New customer,High engagement,High revenue,Elite value,608,0.6299342105263158,705.1315789473684,3018.2346957236846,1835086.6950000003,1557984.8050000002,13.613839302519846,12.710526315789474,0.37006578947368424,0.26480263157894735
