lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,total_monthly_value_baseline,total_profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,auto_renew_rate,cancellation_signal_rate
Long-tenure,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,54901,0.20209103659314037,18944138.0,127944007.65249741,62930292.62000005,14.525390454680846,0.5741971913079907,0.0
Established,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,25445,0.20204362350167027,8206658.0,49922179.67750019,22945289.315000035,14.52786348089622,0.5209274906661426,0.0
Long-tenure,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,2312,0.9273356401384083,1631127.3333333335,9657990.723333333,9477993.709166666,14.586270927897814,0.007352941176470588,0.0
Long-tenure,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,9436,0.26494277236117,3487557.333333333,17799195.700000025,6194712.907499997,14.051332842823635,1.0,1.0
Long-tenure,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,124702,0.03562092027393306,18580598.0,151123190.40000317,4494566.374999989,14.279512376861456,0.9314124873698898,0.012325383714776025
Long-tenure,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,103188,0.039713920223281775,14729897.0,120103855.92833805,4170696.78999999,14.230655653177509,0.9455072295228127,0.010010853975268443
Early lifecycle,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,9180,0.15261437908496733,2239009.0,13038361.30999999,3657180.9299999997,14.49848341656574,0.6099128540305011,0.0
Established,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,1029,0.9057337220602527,520430.33333333343,2762331.1950000003,2670769.9850000003,14.61301218710647,0.0,0.0
Established,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,4689,0.3727873747067605,1533684.0,6724748.7775000045,2651515.9449999984,13.850324636895229,1.0,1.0
New customer,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,447,0.796420581655481,386371.0,1702419.0300000003,1537281.3299999998,13.980310663056247,0.14317673378076062,0.0
Long-tenure,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,47988,0.024756189047261814,7294992.666666666,59450686.78249746,1382840.7666666675,14.304104590169082,0.9176044011002751,0.0
Long-tenure,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,1607,0.3634100808960797,411363.66666666686,2575180.205000077,1270758.23333333,0.0,0.9682638456751711,0.0
Established,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,30715,0.04225948233762006,4576535.0,32779802.574999522,1074090.7125000006,14.401362315409898,0.7896141950187205,0.013739215367084487
Long-tenure,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,51396,0.022316911821931667,5087559.0,41423902.292499974,857981.0850000009,13.819588124292128,0.9997081484940462,0.003988637248034867
Long-tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,13472,0.08320961995249407,2007328.0,12219719.460003877,801196.4674999875,0.0,0.9993319477434679,0.036371733966745846
Established,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,28270,0.0318358684117439,3963471.666666667,28867862.887499426,741341.7050000003,14.350511461437733,0.8480367881146091,0.010505836575875487
Unknown tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,1821,0.8116419549697969,432026.0,870532.3899999765,696087.7949999813,0.0,1.0,1.0
Long-tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,10617,0.08966751436375624,1529997.3333333335,9310893.496668493,662942.2258333333,0.0,0.9992464914759348,0.03635678628614486
Long-tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,946,0.8044397463002114,245257.3333333333,813028.0599999938,630069.8949999932,0.0,1.0,1.0
Early lifecycle,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,346,0.9104046242774566,118860.33333333331,535406.8091666667,510739.34166666673,14.344348283575975,0.0,0.0
Early lifecycle,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,996,0.40763052208835343,329738.0,1229253.8374999997,508324.5374999999,13.735349130759726,1.0,1.0
Established,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,977,0.8894575230296827,211921.33333333334,564770.3533333285,491861.28333333286,0.0,1.0,1.0
Long-tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,5251,0.07008188916396876,813213.3333333331,5301884.065833324,451795.51083333185,0.0,0.9986669205865549,0.0
Long-tenure,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,21986,0.025197853179295914,2185873.6666666665,17795392.419999793,429326.8525000001,13.810888010368137,1.0,0.0038660966069316836
Established,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,78998,0.01038000962049672,7820142.0,57778660.58249891,401578.41749999946,13.571908396142636,0.9998480974201879,0.006759664801640548
Long-tenure,High engagement,Medium revenue,Elite value,Premium win-back,Premium save budget,610,0.9278688524590164,92895.0,432845.27000000014,400821.8175000002,13.216941919031253,1.0,1.0
Established,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,11748,0.031920326864147086,1753953.0,12523713.789166797,356720.61749999993,14.415483662000266,0.7612359550561798,0.0
Established,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,728,0.20467032967032966,174537.66666666666,996546.6983333203,332622.5283333338,0.0,0.9601648351648352,0.0
Early lifecycle,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,6132,0.057729941291585124,913668.0,5744856.292500017,246231.43999999994,14.433491174846802,0.7015655577299413,0.01679712981082844
Unknown tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,53983,0.015578978567326752,5344253.0,28331220.027505122,218754.5749999995,0.0,0.9999814756497416,0.012985569531148695
Long-tenure,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,735,0.08979591836734693,176260.0,1081894.4500000107,209191.515,7.781389638088142,0.85578231292517,0.0
Established,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,28587,0.023087417357540142,2830113.0,16782203.29499912,207969.54750000202,0.0,1.0,0.019974114107811244
Long-tenure,High engagement,No observed revenue,High value,Targeted retention nurture,Moderate save budget,313,0.7603833865814696,46637.0,277247.6525000001,207225.10250000007,14.672894704332426,0.2268370607028754,0.1757188498402556
Long-tenure,High engagement,No observed revenue,Core value,Standard lifecycle nurture,Low-cost save budget,306,0.8104575163398693,41823.0,252022.5175000001,199552.9466666667,14.594656222523337,0.2222222222222222,0.13725490196078433
Unknown tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,14327,0.03762127451664689,1866158.0,8986311.684999812,196660.19750000042,0.0,0.9997906051511133,0.026174356110839674
Early lifecycle,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,18363,0.015302510483036541,2119536.0,14144117.87749999,186275.73249999998,13.853477221037842,0.937319610085498,0.004955617273865926
Unknown tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,11130,0.04366576819407008,1658370.0,7966832.575000845,184140.9049999995,0.0,0.9997304582210242,0.031626235399820304
Established,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,33310,0.010507355148604023,3297739.666666667,24367585.179167137,179224.55416666667,13.572748005954756,1.0,0.006604623236265386
Long-tenure,Medium engagement,High revenue,Elite value,Premium win-back,Premium save budget,359,0.5654596100278552,93684.66666666666,344056.9383333337,170877.7524999999,7.492897183461852,1.0,1.0
Long-tenure,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,3578,0.06512017887087758,533122.0,3604049.9950000695,164882.28250000026,7.65182125059039,0.9938513135830073,0.04499720514253773
Long-tenure,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3075,0.07089430894308943,434233.0,2939883.9924999694,155005.8250000002,7.685086945960787,0.9941463414634146,0.04065040650406504
Established,Medium engagement,High revenue,Elite value,Premium win-back,Premium save budget,299,0.6889632107023411,67944.0,205360.73999999944,132521.51250000024,7.542620324333863,1.0,1.0
Long-tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,8956,0.030482358195623047,886580.0,5822616.864999674,112976.49999999975,0.0,0.9998883430102724,0.02300133988387673
Established,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,2519,0.0853513298928146,375331.0,2010552.7324998714,106559.21250000021,0.0,0.9952362048431918,0.05795950774116713
Unknown tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,22474,0.0168194357924713,2224976.0,10880832.949998697,84645.9899999997,0.0,1.0,0.013882708908071549
Early lifecycle,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,2291,0.04757747708424269,341581.0,2139079.67,82936.945,14.523943914939826,0.6569183762549106,0.0
Established,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2154,0.07242339832869081,303682.0,1638129.4149999546,76685.27750000017,0.0,0.9967502321262767,0.04688950789229341
Long-tenure,High engagement,Low revenue,Elite value,Protect high-value customer,Premium save budget,1064,0.045112781954887216,237137.66666666663,1965631.4383333335,74763.01083333333,14.151203262357793,0.9990601503759399,0.0
Established,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,11991,0.020848970060878994,1187109.0,6557995.3724989295,70154.36999999978,0.0,1.0,0.01759653073138187
Established,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,325,0.08,75326.0,411582.534999998,62560.0625,7.689606677164127,0.8153846153846154,0.0
Unknown tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,4110,0.01727493917274939,618871.6666666667,3228853.6150000026,60599.63000000003,0.0,0.9992700729927008,0.0
Established,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,6084,0.024819197896120974,602316.0,3732660.3600001675,48722.602500000095,7.5691033733294795,1.0,0.023175542406311637
Established,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,857,0.052508751458576426,128881.33333333334,754643.1966666662,46035.32916666664,0.0,0.9941656942823804,0.0
Long-tenure,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,2814,0.028073916133617625,278586.0,1912102.3349999133,37731.62249999997,7.62398760499303,1.0,0.01812366737739872
Long-tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3829,0.025332985113606685,379830.333333333,2344046.2608332713,37621.93499999997,0.0,1.0,0.01854270044398015
Established,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,671,0.09090909090909091,99979.0,594964.0774999958,32410.852500000034,7.597909983953057,0.9731743666169895,0.07749627421758569
Long-tenure,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,1313,0.01904036557501904,199605.00000000003,1377886.4124999905,26037.829999999994,7.68180540261275,0.9923838537699924,0.0
Long-tenure,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1163,0.03267411865864144,115396.33333333333,792396.117500012,20273.012499999993,7.628783729246616,1.0,0.017196904557179708
Established,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,677,0.05465288035450517,93963.0,571436.4174999981,19242.24250000001,7.642386312399497,0.9852289512555391,0.04431314623338257
Early lifecycle,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,16442,0.0020070551027855494,1627636.0,11045004.880000057,16528.557500000003,13.642400176972544,0.9998175404452013,0.0008514779223938694
Established,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2517,0.01986491855383393,249183.0,1548199.8675000449,16248.375000000015,7.555265206306337,1.0,0.018275725069527213
Early lifecycle,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,271,0.2029520295202952,40379.0,173656.89249999973,16101.312500000013,0.0,0.992619926199262,0.18081180811808117
Early lifecycle,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,6919,0.0028905911258852437,684981.0,4638254.692500045,9646.065,13.610422450373862,1.0,0.001734354675531146
