first_observed_month,months_since_first_observed,cohort_size,observed_users,observed_retention_rate,cohort_monthly_revenue_proxy,future_churned_revenue_proxy,future_churn_label_rate,avg_engagement_score
2015-01,0,299,299,1.0,104897.0,16518.0,0.13712374581939799,0.0
2015-01,1,299,293,0.979933110367893,113362.0,13674.0,0.11945392491467577,0.0
2015-01,2,299,294,0.9832775919732442,117152.0,15293.0,0.12244897959183673,0.0
2015-01,3,299,293,0.979933110367893,110930.0,13207.0,0.11945392491467577,0.0
2015-01,4,299,293,0.979933110367893,115578.0,13535.0,0.11945392491467577,0.0
2015-01,5,299,293,0.979933110367893,115389.0,13237.0,0.11945392491467577,0.0
2015-01,6,299,293,0.979933110367893,119905.0,14621.0,0.11945392491467577,0.0
2015-01,7,299,293,0.979933110367893,112652.0,13000.0,0.11945392491467577,0.0
2015-01,8,299,293,0.979933110367893,108969.0,12006.0,0.11945392491467577,0.0
2015-01,9,299,293,0.979933110367893,108363.0,11729.0,0.11945392491467577,0.0
2015-01,10,299,293,0.979933110367893,107509.0,11640.0,0.11945392491467577,0.0
2015-01,11,299,271,0.9063545150501672,75339.0,9445.0,0.12546125461254612,0.0
2015-01,12,299,42,0.14046822742474915,5676.0,447.0,0.07142857142857142,0.0
2015-02,0,123,123,1.0,44675.0,25704.0,0.3821138211382114,0.0
2015-02,1,123,122,0.991869918699187,44809.0,17208.0,0.3770491803278688,0.0
2015-02,2,123,122,0.991869918699187,39928.0,15381.0,0.3770491803278688,0.0
2015-02,3,123,122,0.991869918699187,43095.0,16493.0,0.3770491803278688,0.0
2015-02,4,123,122,0.991869918699187,42817.0,16046.0,0.3770491803278688,0.0
2015-02,5,123,122,0.991869918699187,43095.0,15927.0,0.3770491803278688,0.0
2015-02,6,123,122,0.991869918699187,44402.0,16913.0,0.3770491803278688,0.0
2015-02,7,123,120,0.975609756097561,40859.0,16200.0,0.375,0.0
2015-02,8,123,120,0.975609756097561,39568.0,14820.0,0.375,0.0
2015-02,9,123,122,0.991869918699187,40024.0,15356.0,0.3770491803278688,0.0
2015-02,10,123,103,0.8373983739837398,29179.0,11185.0,0.3786407766990291,0.0
2015-02,11,123,20,0.16260162601626016,2631.0,974.0,0.35,0.0
2015-02,12,123,13,0.10569105691056911,1767.0,725.0,0.38461538461538464,0.0
2015-03,0,882,882,1.0,277408.0,97891.0,0.35827664399092973,0.0
2015-03,1,882,875,0.9920634920634921,264846.0,92409.0,0.35428571428571426,0.0
2015-03,2,882,874,0.9909297052154195,262749.0,88425.0,0.35354691075514877,0.0
2015-03,3,882,874,0.9909297052154195,259637.0,86160.0,0.35354691075514877,0.0
2015-03,4,882,873,0.9897959183673469,257130.0,84004.0,0.3528064146620848,0.0
2015-03,5,882,872,0.9886621315192744,251149.0,80259.0,0.3532110091743119,0.0
