lifecycle_stage,engagement_tier,revenue_tier,customers,churn_rate,total_monthly_revenue_proxy,avg_monthly_revenue_proxy,future_churned_revenue_proxy,avg_engagement_score,avg_active_days,cancellation_signal_rate,major_activity_drop_rate
Long-tenure,High engagement,High revenue,64337,0.21130919999378273,22421718.0,348.5042510530488,11633130.0,14.455862692654588,20.675567713757246,0.14666521597214666,0.0
Established,High engagement,High revenue,30134,0.2286121988451583,9738594.0,323.1762792858565,4861913.0,14.422435073133549,20.441262361452182,0.15560496449193603,0.0
Long-tenure,High engagement,Medium revenue,276488,0.037231272243279996,40536712.0,146.61291629293135,1502915.0,14.263202575168213,19.48996701484332,0.011501403315876277,0.0
Early lifecycle,High engagement,High revenue,10176,0.1775746855345912,2568627.0,252.42010613207546,886942.0,14.42378984849748,20.33628144654088,0.09787735849056604,0.0
Established,High engagement,Medium revenue,70874,0.03803933741569546,10311726.0,145.49377768998505,399406.0,14.381220184994206,20.303058949685358,0.012134210006490391,0.0
Long-tenure,No observed activity,High revenue,2553,0.526831179005092,652104.0,255.4265569917744,398075.0,0.0,0.0,0.37054445750097925,0.0
Long-tenure,No observed activity,Medium revenue,29540,0.08933649289099527,4348252.0,147.19878131347326,387044.0,0.0,0.0,0.03642518618821936,0.0
Unknown tenure,No observed activity,High revenue,1919,0.808754559666493,465104.0,242.36789994788953,373673.0,0.0,0.0,0.948931735278791,0.0
New customer,High engagement,High revenue,608,0.6299342105263158,428720.0,705.1315789473684,361658.0,13.613839302519846,12.710526315789474,0.26480263157894735,0.0
Established,No observed activity,High revenue,1705,0.5970674486803519,386353.0,226.6,246197.0,0.0,0.0,0.5730205278592375,0.0
Unknown tenure,No observed activity,Medium revenue,29714,0.04183213300127886,4158705.0,139.9577640169617,179971.0,0.0,0.0,0.029413744362926566,0.0
Long-tenure,High engagement,Low revenue,74450,0.023546004029550035,7369841.0,98.9904768300873,173198.0,13.821614136384623,17.566541302887845,0.003948959032907992,0.0
Unknown tenure,No observed activity,Low revenue,76460,0.015942976719853518,7569476.0,98.99916296102538,120617.0,0.0,0.0,0.013248757520272037,0.0
Established,High engagement,Low revenue,112309,0.010426590923256374,11117928.0,98.99409664408017,115644.0,13.572187760979178,16.3764257539467,0.006713620457843984,0.0
Early lifecycle,High engagement,Medium revenue,26819,0.028934710466460345,3379612.0,126.01558596517394,114298.0,14.042267019373918,18.548678175920056,0.008464148551400126,0.0
Long-tenure,Medium engagement,High revenue,1094,0.24588665447897623,269672.0,246.50091407678244,92357.0,7.686719810655937,1.559414990859232,0.3281535648994516,0.0
Established,No observed activity,Low revenue,40578,0.022425945093400363,4017222.0,99.0,90090.0,0.0,0.0,0.019271526442900092,0.0
Long-tenure,Medium engagement,Medium revenue,8025,0.06654205607476636,1171438.0,145.97358255451712,77934.0,7.667989842752898,1.5151401869158878,0.04299065420560748,0.0
Established,No observed activity,Medium revenue,5566,0.08102766798418973,812050.0,145.89471793029105,66272.0,0.0,0.0,0.05084441250449156,0.0
Established,Medium engagement,High revenue,624,0.3717948717948718,143270.0,229.59935897435898,60370.0,7.619175716432955,1.544871794871795,0.4791666666666667,0.0
Long-tenure,No observed activity,Low revenue,12828,0.02923292797006548,1269908.0,98.99501091362644,37061.0,0.0,0.0,0.02174929840972872,0.0
Established,Medium engagement,Low revenue,8601,0.02336937565399372,851499.0,99.0,19899.0,7.565053766725909,1.4901755609812812,0.021741657946750377,0.0
Established,Medium engagement,Medium revenue,1612,0.06823821339950373,233280.0,144.71464019851118,16250.0,7.642036176702255,1.543424317617866,0.05521091811414392,0.0
Early lifecycle,No observed activity,Medium revenue,2223,0.0449842555105713,258979.0,116.49977507872245,14700.0,0.0,0.0,0.04183535762483131,0.0
Long-tenure,Medium engagement,Low revenue,4007,0.029448465185924633,396693.0,99.0,11682.0,7.625588269174259,1.4933865734963814,0.017968555028699776,0.0
Early lifecycle,Medium engagement,Medium revenue,1459,0.02467443454420836,162922.0,111.66689513365318,5275.0,7.500656959677563,1.6285126799177518,0.0205620287868403,0.0
Early lifecycle,High engagement,Low revenue,23361,0.002268738495783571,2312617.0,98.99477762082103,5154.0,13.632929097381059,16.759299687513376,0.0011129660545353367,0.0
Early lifecycle,No observed activity,Low revenue,4077,0.005396124601422614,403623.0,99.0,2178.0,0.0,0.0,0.005396124601422614,0.0
Established,Low engagement,Low revenue,765,0.01699346405228758,75735.0,99.0,1287.0,3.656802873758633,1.031372549019608,0.01437908496732026,0.0
Early lifecycle,Medium engagement,Low revenue,1825,0.004931506849315068,180675.0,99.0,891.0,7.502483689858221,1.5101369863013698,0.004931506849315068,0.0
Unknown tenure,No observed activity,No observed revenue,8670,0.9806228373702423,0.0,0.0,0.0,0.0,0.0,0.0029988465974625142,0.0
Long-tenure,Medium engagement,No observed revenue,1367,0.9173372348207754,0.0,0.0,0.0,7.5361007593373355,1.4462326261887344,0.008046817849305048,0.0
Established,Medium engagement,No observed revenue,788,0.9111675126903553,0.0,0.0,0.0,7.474772826000397,1.4378172588832487,0.0025380710659898475,0.0
Early lifecycle,High engagement,No observed revenue,3690,0.7609756097560976,0.0,0.0,0.0,13.14326970026619,12.783468834688346,0.002981029810298103,0.0
Long-tenure,High engagement,No observed revenue,18255,0.7462065187619831,0.0,0.0,0.0,13.440480393489475,14.289838400438237,0.009093399068748289,0.0
Established,High engagement,No observed revenue,10439,0.7265063703419867,0.0,0.0,0.0,13.381340616207941,14.143021362199445,0.0030654277229619697,0.0
