lifecycle_stage,engagement_tier,revenue_tier,latest_is_auto_renew,latest_is_cancel,customers,churn_rate,avg_monthly_revenue_proxy,total_monthly_revenue_proxy,future_churned_revenue_proxy,avg_engagement_score,major_activity_drop_rate,cancellation_signal_rate,revenue_recovery_priority_score,recommended_retention_focus
Long-tenure,High engagement,High revenue,0,0,24676,0.43390338790727834,560.0202626033392,13819060.0,10893857.0,14.71014273270239,0.0,0.05203436537526342,11460711.935483873,High-priority retention candidate
Established,High engagement,High revenue,0,0,12724,0.38942156554542595,473.00652310594154,6018535.0,4414394.0,14.689057947703072,0.0,0.04165356806035838,4598269.260924238,High-priority retention candidate
Long-tenure,High engagement,High revenue,1,1,2668,0.6926536731634183,267.746251874063,714347.0,476996.0,13.324644656610568,0.0,1.0,953992.0,Win-back recovery candidate
Long-tenure,High engagement,Medium revenue,1,1,3158,0.9110196326789107,148.17036098796706,467922.0,426223.0,13.187276797779415,0.0,1.0,852446.0,Win-back recovery candidate
Long-tenure,High engagement,Medium revenue,1,0,255185,0.02313223739639869,146.43734545525794,37368614.0,851437.0,14.224658200910095,0.0,3.1349805043399884e-05,851463.6923839569,Standard retention monitoring
Early lifecycle,High engagement,High revenue,0,0,3718,0.31522323830016136,337.48574502420655,1254772.0,742235.0,14.669862485466338,0.0,0.036309844002151696,769185.4370629371,High-priority retention candidate
Established,High engagement,High revenue,1,1,1814,0.8219404630650496,239.97078280044101,435307.0,344740.0,13.10737173160298,0.0,1.0,689480.0,Win-back recovery candidate
Unknown tenure,No observed activity,High revenue,1,1,1475,0.991864406779661,233.86779661016948,344955.0,341579.0,0.0,0.0,1.0,683158.0,Win-back recovery candidate
Established,No observed activity,High revenue,1,1,881,0.9829738933030647,212.88195232690126,187549.0,183733.0,0.0,0.0,1.0,367466.0,Win-back recovery candidate
Long-tenure,No observed activity,High revenue,1,1,791,0.93173198482933,245.3754740834387,194092.0,178573.0,0.0,0.0,1.0,357146.0,Win-back recovery candidate
Long-tenure,No observed activity,Medium revenue,1,1,1075,0.9906976744186047,147.9739534883721,159072.0,157582.0,0.0,0.0,1.0,315164.0,Win-back recovery candidate
Long-tenure,High engagement,High revenue,1,0,36993,0.028113426864541942,213.2379369069824,7888311.0,262277.0,14.367831861198505,0.0,0.14824426242802693,301158.0604168356,Monitor and protect
Unknown tenure,No observed activity,Medium revenue,1,1,864,1.0,145.14236111111111,125403.0,125403.0,0.0,0.0,1.0,250806.0,Win-back recovery candidate
Established,High engagement,Medium revenue,1,1,856,0.9158878504672897,147.84929906542055,126559.0,115911.0,13.076747389630754,0.0,1.0,231822.0,Win-back recovery candidate
Long-tenure,No observed activity,Medium revenue,1,0,28441,0.05499103407053198,147.16789142435218,4185602.0,227971.0,0.0,0.0,3.5160507717731446e-05,227979.01557610492,Standard retention monitoring
Long-tenure,High engagement,Medium revenue,0,0,18145,0.08343896390190135,148.8110223201984,2700176.0,225255.0,14.992534057673193,0.0,0.0007715624138881235,225428.79829154038,Standard retention monitoring
Unknown tenure,No observed activity,Low revenue,1,1,1013,0.9990128331688055,99.0,100287.0,100188.0,0.0,0.0,1.0,200376.0,Low-cost reactivation candidate
Long-tenure,No observed activity,High revenue,1,0,1708,0.33021077283372363,238.52166276346605,407395.0,171014.0,0.0,0.0,0.08899297423887588,186233.04449648713,High-priority retention candidate
Established,High engagement,Medium revenue,0,0,13566,0.08845643520566121,148.8204334365325,2018898.0,178486.0,14.869523478719598,0.0,7.371369600471768e-05,178499.1568627451,Standard retention monitoring
Established,No observed activity,Low revenue,1,1,782,1.0,99.0,77418.0,77418.0,0.0,0.0,1.0,154836.0,Low-cost reactivation candidate
Established,High engagement,Low revenue,1,1,753,0.9893758300132802,99.0,74547.0,73755.0,12.145611321782493,0.0,1.0,147510.0,Standard retention monitoring
Long-tenure,High engagement,Low revenue,1,0,74140,0.019665497707040732,99.0,7339860.0,144342.0,13.828173650868951,0.0,0.0,144342.0,Standard retention monitoring
Established,High engagement,High revenue,1,0,15596,0.028404719158758657,210.61502949474223,3284752.0,102779.0,14.35786822557736,0.0,0.15035906642728905,118232.75448833035,Monitor and protect
Established,High engagement,Medium revenue,1,0,56452,0.01261248494296039,144.6586303408205,8166269.0,105009.0,14.283655992939936,0.0,5.314249273719266e-05,105014.58044001984,Standard retention monitoring
Early lifecycle,High engagement,High revenue,1,0,6005,0.04779350541215654,201.3600333055787,1209167.0,65745.0,14.375412658836488,0.0,0.06794338051623647,70211.93755203996,Monitor and protect
Early lifecycle,High engagement,Medium revenue,0,0,3771,0.11482365420312915,148.63723150357995,560511.0,64119.0,14.807099181773074,0.0,0.00026518164942985947,64136.0031821798,Standard retention monitoring
Established,No observed activity,High revenue,1,0,795,0.16226415094339622,232.72704402515723,185018.0,49938.0,0.0,0.0,0.12075471698113208,55968.249056603774,High-priority retention candidate
Unknown tenure,No observed activity,Medium revenue,1,0,28841,0.01286363163551888,139.79955618737213,4031959.0,53374.0,0.0,0.0,0.00034672861551263823,53392.50629312437,Standard retention monitoring
Established,High engagement,Low revenue,1,0,111544,0.0037742953453345765,99.0,11042856.0,41679.0,13.58186562701872,0.0,8.965072079179517e-06,41679.373655239186,Standard retention monitoring
Long-tenure,Medium engagement,Medium revenue,1,0,7630,0.025557011795543906,145.87614678899084,1113035.0,27877.0,7.676059902390576,0.0,0.0,27877.0,Standard retention monitoring
