cohort_month,months_since_first_observed,cohort_size,observed_users,observed_retention_rate
2015-01,0,299,299,1.0
2015-01,1,299,293,0.979933110367893
2015-01,2,299,294,0.9832775919732442
2015-01,3,299,293,0.979933110367893
2015-01,4,299,293,0.979933110367893
2015-01,5,299,293,0.979933110367893
2015-01,6,299,293,0.979933110367893
2015-01,7,299,293,0.979933110367893
2015-01,8,299,293,0.979933110367893
2015-01,9,299,293,0.979933110367893
2015-01,10,299,293,0.979933110367893
2015-01,11,299,271,0.9063545150501672
2015-01,12,299,42,0.14046822742474915
2015-02,0,123,123,1.0
2015-02,1,123,122,0.991869918699187
2015-02,2,123,122,0.991869918699187
2015-02,3,123,122,0.991869918699187
2015-02,4,123,122,0.991869918699187
2015-02,5,123,122,0.991869918699187
2015-02,6,123,122,0.991869918699187
2015-02,7,123,120,0.975609756097561
2015-02,8,123,120,0.975609756097561
2015-02,9,123,122,0.991869918699187
2015-02,10,123,103,0.8373983739837398
2015-02,11,123,20,0.16260162601626016
2015-02,12,123,13,0.10569105691056911
2015-03,0,882,882,1.0
2015-03,1,882,875,0.9920634920634921
2015-03,2,882,874,0.9909297052154195
2015-03,3,882,874,0.9909297052154195
2015-03,4,882,873,0.9897959183673469
2015-03,5,882,872,0.9886621315192744
2015-03,6,882,865,0.9807256235827665
2015-03,7,882,862,0.9773242630385488
2015-03,8,882,868,0.9841269841269841
2015-03,9,882,780,0.8843537414965986
2015-03,10,882,212,0.24036281179138322
2015-03,11,882,167,0.1893424036281179
2015-03,12,882,2,0.0022675736961451248
2015-04,0,190,190,1.0
2015-04,1,190,189,0.9947368421052631
2015-04,2,190,188,0.9894736842105263
2015-04,3,190,188,0.9894736842105263
2015-04,4,190,188,0.9894736842105263
2015-04,5,190,185,0.9736842105263158
2015-04,6,190,184,0.968421052631579
2015-04,7,190,185,0.9736842105263158
2015-04,8,190,163,0.8578947368421053
2015-04,9,190,34,0.17894736842105263
2015-04,10,190,28,0.14736842105263157
2015-04,11,190,4,0.021052631578947368
2015-04,12,190,4,0.021052631578947368
2015-05,0,377,377,1.0
2015-05,1,377,374,0.9920424403183024
2015-05,2,377,374,0.9920424403183024
2015-05,3,377,374,0.9920424403183024
2015-05,4,377,368,0.9761273209549072
2015-05,5,377,366,0.9708222811671088
2015-05,6,377,372,0.986737400530504
2015-05,7,377,327,0.8673740053050398
2015-05,8,377,101,0.26790450928381965
2015-05,9,377,77,0.20424403183023873
2015-05,12,377,1,0.002652519893899204
2015-06,0,454,454,1.0
2015-06,1,454,452,0.9955947136563876
2015-06,2,454,453,0.9977973568281938
2015-06,3,454,444,0.9779735682819384
2015-06,4,454,444,0.9779735682819384
2015-06,5,454,451,0.9933920704845814
2015-06,6,454,392,0.8634361233480177
2015-06,7,454,125,0.2753303964757709
2015-06,8,454,95,0.2092511013215859
2015-06,9,454,1,0.0022026431718061676
2015-06,10,454,2,0.004405286343612335
2015-06,11,454,2,0.004405286343612335
2015-06,12,454,2,0.004405286343612335
2015-07,0,514,514,1.0
2015-07,1,514,514,1.0
2015-07,2,514,510,0.9922178988326849
2015-07,3,514,507,0.9863813229571985
2015-07,4,514,514,1.0
2015-07,5,514,451,0.877431906614786
2015-07,6,514,132,0.25680933852140075
2015-07,7,514,101,0.19649805447470817
2015-07,9,514,1,0.0019455252918287938
2015-07,10,514,1,0.0019455252918287938
2015-08,0,472,472,1.0
2015-08,1,472,467,0.989406779661017
2015-08,2,472,465,0.9851694915254238
2015-08,3,472,470,0.9957627118644068
2015-08,4,472,447,0.9470338983050848
2015-08,5,472,109,0.2309322033898305
2015-08,6,472,94,0.19915254237288135
2015-08,7,472,2,0.00423728813559322
2015-08,8,472,2,0.00423728813559322
2015-08,9,472,2,0.00423728813559322
2015-08,10,472,2,0.00423728813559322
2015-08,11,472,2,0.00423728813559322
2015-08,12,472,2,0.00423728813559322
2015-09,0,537,537,1.0
2015-09,1,537,536,0.9981378026070763
2015-09,2,537,536,0.9981378026070763
2015-09,3,537,483,0.8994413407821229
2015-09,4,537,119,0.22160148975791433
2015-09,5,537,98,0.1824953445065177
2015-09,7,537,2,0.0037243947858473
2015-09,10,537,1,0.00186219739292365
2015-10,0,889,889,1.0
2015-10,1,889,887,0.9977502812148481
2015-10,2,889,807,0.9077615298087739
2015-10,3,889,134,0.15073115860517436
2015-10,4,889,107,0.1203599550056243
2015-10,5,889,2,0.0022497187851518562
2015-10,9,889,2,0.0022497187851518562
2015-10,10,889,2,0.0022497187851518562
2015-10,11,889,1,0.0011248593925759281
2015-11,0,1077,1077,1.0
2015-11,1,1077,941,0.8737233054781801
2015-11,2,1077,187,0.17363045496750232
2015-11,3,1077,149,0.13834726090993502
2015-11,4,1077,3,0.002785515320334262
2015-11,5,1077,3,0.002785515320334262
2015-11,6,1077,3,0.002785515320334262
2015-11,7,1077,3,0.002785515320334262
2015-11,8,1077,4,0.003714020427112349
2015-11,9,1077,5,0.004642525533890436
2015-11,10,1077,4,0.003714020427112349
2015-11,11,1077,4,0.003714020427112349
2015-11,12,1077,5,0.004642525533890436
2015-12,0,1004,1004,1.0
2015-12,1,1004,202,0.20119521912350596
2015-12,2,1004,157,0.15637450199203187
2015-12,3,1004,4,0.00398406374501992
2015-12,4,1004,3,0.00298804780876494
2015-12,5,1004,1,0.00099601593625498
2015-12,6,1004,4,0.00398406374501992
2015-12,7,1004,5,0.0049800796812749
2015-12,8,1004,2,0.00199203187250996
2015-12,9,1004,4,0.00398406374501992
2015-12,10,1004,7,0.0069721115537848604
2015-12,11,1004,4,0.00398406374501992
2015-12,12,1004,8,0.00796812749003984
2016-01,0,298,298,1.0
2016-01,1,298,218,0.7315436241610739
2016-01,2,298,9,0.030201342281879196
2016-01,3,298,10,0.03355704697986577
2016-01,4,298,7,0.02348993288590604
2016-01,5,298,7,0.02348993288590604
2016-01,6,298,8,0.026845637583892617
2016-01,7,298,9,0.030201342281879196
2016-01,8,298,8,0.026845637583892617
2016-01,9,298,8,0.026845637583892617
2016-01,10,298,8,0.026845637583892617
2016-01,11,298,8,0.026845637583892617
2016-01,12,298,10,0.03355704697986577
2016-02,0,353,353,1.0
2016-02,1,353,20,0.056657223796033995
2016-02,2,353,20,0.056657223796033995
2016-02,3,353,19,0.053824362606232294
2016-02,4,353,20,0.056657223796033995
2016-02,5,353,20,0.056657223796033995
2016-02,6,353,21,0.059490084985835696
2016-02,7,353,22,0.06232294617563739
2016-02,8,353,20,0.056657223796033995
2016-02,9,353,18,0.05099150141643059
2016-02,10,353,17,0.04815864022662889
2016-02,11,353,19,0.053824362606232294
2016-02,12,353,63,0.17847025495750707
2016-03,0,49,49,1.0
2016-03,1,49,21,0.42857142857142855
2016-03,2,49,19,0.3877551020408163
2016-03,3,49,19,0.3877551020408163
2016-03,4,49,20,0.40816326530612246
2016-03,5,49,17,0.3469387755102041
2016-03,6,49,16,0.32653061224489793
2016-03,7,49,16,0.32653061224489793
2016-03,8,49,15,0.30612244897959184
2016-03,9,49,15,0.30612244897959184
2016-03,10,49,15,0.30612244897959184
2016-03,11,49,15,0.30612244897959184
2016-03,12,49,48,0.9795918367346939
2016-04,0,51,51,1.0
2016-04,1,51,33,0.6470588235294118
2016-04,2,51,30,0.5882352941176471
2016-04,3,51,32,0.6274509803921569
2016-04,4,51,30,0.5882352941176471
2016-04,5,51,28,0.5490196078431373
2016-04,6,51,29,0.5686274509803921
2016-04,7,51,28,0.5490196078431373
2016-04,8,51,27,0.5294117647058824
2016-04,9,51,28,0.5490196078431373
2016-04,10,51,28,0.5490196078431373
2016-04,11,51,48,0.9411764705882353
2016-05,0,73,73,1.0
2016-05,1,73,62,0.8493150684931506
2016-05,2,73,60,0.821917808219178
2016-05,3,73,59,0.8082191780821918
2016-05,4,73,59,0.8082191780821918
2016-05,5,73,59,0.8082191780821918
2016-05,6,73,62,0.8493150684931506
2016-05,7,73,58,0.7945205479452054
2016-05,8,73,59,0.8082191780821918
2016-05,9,73,58,0.7945205479452054
2016-05,10,73,71,0.9726027397260274
2016-06,0,77,77,1.0
2016-06,1,77,61,0.7922077922077922
2016-06,2,77,60,0.7792207792207793
2016-06,3,77,60,0.7792207792207793
2016-06,4,77,57,0.7402597402597403
2016-06,5,77,58,0.7532467532467533
2016-06,6,77,56,0.7272727272727273
2016-06,7,77,54,0.7012987012987013
2016-06,8,77,54,0.7012987012987013
2016-06,9,77,71,0.922077922077922
2016-07,0,114,114,1.0
2016-07,1,114,78,0.6842105263157895
2016-07,2,114,76,0.6666666666666666
2016-07,3,114,71,0.6228070175438597
2016-07,4,114,72,0.631578947368421
2016-07,5,114,70,0.6140350877192983
2016-07,6,114,67,0.5877192982456141
2016-07,7,114,66,0.5789473684210527
2016-07,8,114,104,0.9122807017543859
2016-08,0,143,143,1.0
2016-08,1,143,108,0.7552447552447552
2016-08,2,143,104,0.7272727272727273
2016-08,3,143,100,0.6993006993006993
2016-08,4,143,98,0.6853146853146853
2016-08,5,143,99,0.6923076923076923
2016-08,6,143,91,0.6363636363636364
2016-08,7,143,135,0.9440559440559441
2016-09,0,194,194,1.0
2016-09,1,194,160,0.8247422680412371
2016-09,2,194,151,0.7783505154639175
2016-09,3,194,151,0.7783505154639175
2016-09,4,194,147,0.7577319587628866
2016-09,5,194,142,0.7319587628865979
2016-09,6,194,185,0.9536082474226805
2016-10,0,297,297,1.0
2016-10,1,297,200,0.6734006734006734
2016-10,2,297,195,0.6565656565656566
2016-10,3,297,195,0.6565656565656566
2016-10,4,297,188,0.632996632996633
2016-10,5,297,295,0.9932659932659933
2016-11,0,711,711,1.0
2016-11,1,711,586,0.8241912798874824
2016-11,2,711,575,0.8087201125175809
2016-11,3,711,560,0.7876230661040787
2016-11,4,711,697,0.980309423347398
2016-12,0,1277,1277,1.0
2016-12,1,1277,720,0.5638214565387627
2016-12,2,1277,679,0.5317149569303053
2016-12,3,1277,1253,0.9812059514487079
2017-01,0,3841,3841,1.0
2017-01,1,3841,2932,0.7633428794584743
2017-01,2,3841,3813,0.9927102317104921
2017-02,0,78390,78390,1.0
2017-02,1,78390,78337,0.999323893353744
2017-03,0,869707,869707,1.0
