strategy_name,response_multiplier,targeted_customers,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,adjusted_expected_response_rate,expected_customers_saved,expected_saved_clv_proxy,campaign_cost_proxy,net_save_value_proxy,roi_proxy,break_even_response_rate,budget_cap,budget_utilization,budget_status,scenario_name
All positive ROI paid-offer candidates,0.5,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.04904317790500723,2352.4873803382766,8310104.476616979,791283.75,7518820.726616979,9.502053753305283,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 0.50
All positive ROI paid-offer candidates,0.7,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.06866044906701009,3293.4823324735867,11634146.267263768,791283.75,10842862.517263768,13.702875254627394,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 0.70
All positive ROI paid-offer candidates,0.85,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.08337340243851227,3999.2285465750697,14127177.61024886,791283.75,13335893.86024886,16.853491380618976,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 0.85
All positive ROI paid-offer candidates,1.0,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.09808635581001446,4704.974760676553,16620208.953233957,791283.75,15828925.203233957,20.004107506610566,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 1.00
All positive ROI paid-offer candidates,1.15,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.11279930918151658,5410.720974778036,19113240.29621905,791283.75,18321956.54621905,23.15472363260215,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 1.15
All positive ROI paid-offer candidates,1.3,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.12751226255301873,6116.467188879519,21606271.639204144,791283.75,20814987.889204144,26.305339758593735,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 1.30
All positive ROI paid-offer candidates,1.5,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.14712953371502163,7057.462141014829,24930313.429850925,791283.75,24139029.679850925,30.50616125991583,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Response multiplier 1.50
Tier 1 plus Tier 2 premium save,0.5,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.07000000000000003,249.21021072104372,2912144.3545494466,64278.0,2847866.3545494466,44.305459948185174,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 0.50
Tier 1 plus Tier 2 premium save,0.7,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.09799999999999999,348.8942950094611,4077002.0963692246,64278.0,4012724.0963692246,62.427643927459236,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 0.70
Tier 1 plus Tier 2 premium save,0.85,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.11900000000000001,423.65735822577426,4950645.40273406,64278.0,4886367.40273406,76.0192819119148,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 0.85
Tier 1 plus Tier 2 premium save,1.0,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.14000000000000007,498.42042144208745,5824288.709098893,64278.0,5760010.709098893,89.61091989637035,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 1.00
Tier 1 plus Tier 2 premium save,1.15,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.161,573.1834846584004,6697932.015463727,64278.0,6633654.015463727,103.20255788082589,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 1.15
Tier 1 plus Tier 2 premium save,1.3,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.182,647.9465478747136,7571575.321828561,64278.0,7507297.321828561,116.79419586528145,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 1.30
Tier 1 plus Tier 2 premium save,1.5,3571,0.9969604781415515,0.9991598991879026,41750178.62166667,41705608.64166667,41602062.207849234,0.21000000000000002,747.630632163131,8736433.06364834,64278.0,8672155.06364834,134.9163798445555,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Response multiplier 1.50
Tiers 1 to 3 targeted save,0.5,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.07000000000000003,496.9784555997654,4889044.46929357,128574.0,4760470.46929357,37.02514092502038,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Response multiplier 0.50
Tiers 1 to 3 targeted save,0.7,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.098,695.7698378396715,6844662.257010996,128574.0,6716088.257010996,52.23519729502851,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Response multiplier 0.70
Tiers 1 to 3 targeted save,0.85,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.11900000000000001,844.8633745196012,8311375.597799067,128574.0,8182801.597799067,63.64273957253463,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Response multiplier 0.85
Tiers 1 to 3 targeted save,1.0,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.14000000000000007,993.9569111995309,9778088.93858714,128574.0,9649514.93858714,75.05028185004076,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Response multiplier 1.00
Tiers 1 to 3 targeted save,1.15,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.16100000000000003,1143.0504478794605,11244802.279375209,128574.0,11116228.279375209,86.45782412754684,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Response multiplier 1.15
