strategy_name,scenario_name,targeted_customers,adjusted_expected_response_rate,break_even_response_rate,response_headroom,campaign_cost_proxy,expected_saved_clv_proxy,net_save_value_proxy,roi_proxy,break_even_readout
All positive ROI paid-offer candidates,Aggressive growth,71437,0.13732089813402018,0.007325873416125833,0.12999502471789434,909976.3124999999,23268292.534527536,22358316.222027536,24.5702178341346,Comfortable response-rate cushion
"Top 50,000 by net save value",Aggressive growth,50000,0.16025744,0.006524286761753601,0.1537331532382464,798414.5249999999,23107806.894676354,22309392.369676355,27.942117372772444,Comfortable response-rate cushion
Critical risk elite/high value,Aggressive growth,43405,0.17568556617901165,0.006487182342393723,0.16919838383661792,777767.9999999999,22960108.208369628,22182340.208369628,28.520510240032543,Comfortable response-rate cushion
Premium save budget only,Aggressive growth,45511,0.17948953000373538,0.007113313580339681,0.1723762164233957,833378.5499999998,22835253.735594515,22001875.185594514,26.400817714344242,Comfortable response-rate cushion
Immediate premium save offer only,Aggressive growth,36407,0.19600000000000004,0.006518353502384668,0.18948164649761537,753624.8999999999,22660704.17107046,21907079.27107046,29.06894301272485,Comfortable response-rate cushion
"Top 25,000 by net save value",Aggressive growth,25000,0.19600000000000004,0.0046826864842272305,0.1913173135157728,517499.9999999999,21660642.953921493,21143142.953921493,40.856314886804824,Comfortable response-rate cushion
Tiers 1 to 4 test-and-learn,Aggressive growth,14287,0.19600000000000004,0.003044548857285849,0.19295545114271417,295740.8999999999,19039016.654728524,18743275.754728526,63.37735414590451,Comfortable response-rate cushion
"Top 10,000 by net save value",Aggressive growth,10000,0.19600000000000004,0.0024643003616355097,0.19353569963836453,206999.99999999994,16463902.141000831,16256902.141000831,78.53575913526974,Comfortable response-rate cushion
Tiers 1 to 3 targeted save,Aggressive growth,7143,0.196,0.0021170204249534117,0.1938829795750466,147860.09999999998,13689324.514021993,13541464.414021993,91.58295181744091,Comfortable response-rate cushion
"Top 5,000 by net save value",Aggressive growth,5000,0.19599999999999995,0.001886601449858534,0.19411339855014142,103500.0,10752668.509568429,10649168.509568429,102.89051700066115,Comfortable response-rate cushion
Tier 1 plus Tier 2 premium save,Aggressive growth,3571,0.19599999999999998,0.001776827783937433,0.19422317221606256,73919.69999999998,8154004.192738449,8080084.492738449,109.3089459607987,Comfortable response-rate cushion
Tier 1 executive save only,Aggressive growth,714,0.19599999999999998,0.001506321353184589,0.19449367864681538,14779.799999999997,1923122.7080965457,1908342.9080965456,129.11831743978578,Comfortable response-rate cushion
All positive ROI paid-offer candidates,Base,71437,0.09808635581001446,0.006370324709674638,0.09171603110033982,791283.75,16620208.953233957,15828925.203233957,20.004107506610566,Comfortable response-rate cushion
"Top 50,000 by net save value",Base,50000,0.11446960000000005,0.00567329283630748,0.10879630716369257,694273.5,16505576.353340255,15811302.853340255,22.773882127634504,Comfortable response-rate cushion
Critical risk elite/high value,Base,43405,0.1254896901278655,0.005641028123820629,0.11984866200404488,676320.0,16400077.29169259,15723757.29169259,23.248990554312442,Comfortable response-rate cushion
Premium save budget only,Base,45511,0.12820680714552532,0.006185490069860594,0.12202131707566473,724677.0,16310895.525424654,15586218.525424654,21.50781455106848,Comfortable response-rate cushion
Immediate premium save offer only,Base,36407,0.14000000000000007,0.005668133480334495,0.13433186651966558,655326.0,16186217.265050327,15530891.265050327,23.699488903309692,Comfortable response-rate cushion
"Top 25,000 by net save value",Base,25000,0.14000000000000007,0.004071901290632375,0.1359280987093677,450000.0,15471887.824229637,15021887.824229637,33.381972942732524,Comfortable response-rate cushion
Tiers 1 to 4 test-and-learn,Base,14287,0.14000000000000004,0.0026474337889442175,0.13735256621105582,257166.0,13599297.610520376,13342131.610520376,51.881398048421545,Comfortable response-rate cushion
"Top 10,000 by net save value",Base,10000,0.14000000000000007,0.0021428698796830525,0.13785713012031703,180000.0,11759930.10071488,11579930.10071488,64.33294500397155,Comfortable response-rate cushion
