lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,monthly_revenue_baseline_proxy,profit_adjusted_clv_proxy,future_churned_clv_proxy,clv_leakage_rate,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,major_activity_drop_rate
Long-tenure,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,54901,0.20209103659314037,18944138.0,127944007.65249598,62930292.62000017,0.49185806959340234,14.525390454680899,21.097247773264602,0.5741971913079907,0.0,0.0,0.0
Established,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,25445,0.20204362350167027,8206658.0,49922179.677501105,22945289.31500009,0.4596211436124665,14.527863480896238,21.068382786402044,0.5209274906661426,0.0,0.0,0.0
Long-tenure,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,2312,0.9273356401384083,1631127.3333333333,9657990.723333325,9477993.70916666,0.9813628922078173,14.586270927897807,21.493512110726645,0.007352941176470588,0.0,0.0,0.0
Long-tenure,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,9436,0.26494277236117,3487557.3333333335,17799195.700000018,6194712.907499996,0.34803330509479086,14.051332842823653,18.222128020347604,1.0,1.0,0.0,0.0
Long-tenure,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,124702,0.03562092027393306,18580598.0,151123190.40000725,4494566.374999987,0.029741076555513026,14.279512376861486,19.545500473127937,0.9314124873698898,0.012325383714776025,0.0,0.0
Long-tenure,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,103188,0.039713920223281775,14729897.0,120103855.92833479,4170696.789999986,0.03472575262270192,14.230655653177495,19.38423072450285,0.9455072295228127,0.010010853975268443,0.0,0.0
Early lifecycle,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,9180,0.15261437908496733,2239009.0,13038361.30999988,3657180.930000003,0.2804939089389322,14.498483416565751,20.783769063180827,0.6099128540305011,0.0,0.0,0.0
Established,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,1029,0.9057337220602527,520430.3333333334,2762331.1950000008,2670769.9850000003,0.9668536451509753,14.613012187106474,21.62390670553936,0.0,0.0,0.0,0.0
Established,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,4689,0.3727873747067605,1533684.0,6724748.777500005,2651515.9449999984,0.39429219331903825,13.850324636895238,17.038174450842398,1.0,1.0,0.0,0.0
Long-tenure,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,47988,0.024756189047261814,7294992.666666668,59450686.78249567,1382840.766666667,0.02326029927502575,14.304104590169091,19.655497207635243,0.9176044011002751,0.0,0.0,0.0
Long-tenure,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,1607,0.3634100808960797,411363.66666666686,2575180.205000077,1270758.23333333,0.4934638091990506,0.0,0.0,0.9682638456751711,0.0,1.0,0.0
Established,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,30715,0.04225948233762006,4576535.0,32779802.57499997,1074090.7124999992,0.0327668450730442,14.401362315409903,20.350122090183948,0.7896141950187205,0.013739215367084487,0.0,0.0
Long-tenure,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,51396,0.022316911821931667,5087559.0,41423902.29249864,857981.085,0.020712222594136666,13.81958812429212,17.55477079928399,0.9997081484940462,0.003988637248034867,0.0,0.0
Long-tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,13472,0.08320961995249407,2007328.0,12219719.460003877,801196.4674999875,0.06556586426737274,0.0,0.0,0.9993319477434679,0.036371733966745846,1.0,0.0
Established,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,28270,0.0318358684117439,3963471.6666666665,28867862.88749994,741341.7049999998,0.025680519125681724,14.350511461437728,20.210859568447116,0.8480367881146091,0.010505836575875487,0.0,0.0
Unknown tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,1821,0.8116419549697969,432026.0,870532.3899999765,696087.7949999813,0.7996115974501535,0.0,0.0,1.0,1.0,1.0,0.0
Long-tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,10617,0.08966751436375624,1529997.3333333335,9310893.496668493,662942.2258333333,0.07120070979982093,0.0,0.0,0.9992464914759348,0.03635678628614486,1.0,0.0
Long-tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,946,0.8044397463002114,245257.3333333333,813028.0599999938,630069.8949999932,0.7749669734646034,0.0,0.0,1.0,1.0,1.0,0.0
Early lifecycle,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,996,0.40763052208835343,329738.0,1229253.8374999992,508324.53749999986,0.413522839622618,13.735349130759728,16.211847389558233,1.0,1.0,0.0,0.0
Established,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,977,0.8894575230296827,211921.33333333334,564770.3533333285,491861.28333333286,0.8709049269854918,0.0,0.0,1.0,1.0,1.0,0.0
Long-tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,5251,0.07008188916396876,813213.3333333331,5301884.065833324,451795.51083333185,0.08521414373143614,0.0,0.0,0.9986669205865549,0.0,1.0,0.0
Long-tenure,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,21986,0.025197853179295914,2185873.6666666665,17795392.420000155,429326.85250000015,0.02412573110877183,13.810888010368132,17.522195942872738,1.0,0.0038660966069316836,0.0,0.0
Established,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,78998,0.01038000962049672,7820142.0,57778660.582493015,401578.4174999991,0.006950289491855713,13.571908396142671,16.380743816299148,0.9998480974201879,0.006759664801640548,0.0,0.0
Long-tenure,High engagement,Medium revenue,Elite value,Premium win-back,Premium save budget,610,0.9278688524590164,92895.0,432845.27000000025,400821.8175000002,0.9260163972682431,13.21694191903125,13.001639344262296,1.0,1.0,0.0,0.0
Established,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,11748,0.031920326864147086,1753953.0,12523713.789166806,356720.61749999993,0.028483613048436832,14.415483662000263,20.48987061627511,0.7612359550561798,0.0,0.0,0.0
Established,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,728,0.20467032967032966,174537.66666666666,996546.6983333203,332622.5283333338,0.3337751546311177,0.0,0.0,0.9601648351648352,0.0,1.0,0.0
Early lifecycle,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,6132,0.057729941291585124,913668.0,5744856.292499997,246231.43999999986,0.04286120095318294,14.43349117484681,20.378506196999346,0.7015655577299413,0.01679712981082844,0.0,0.0
Unknown tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,53983,0.015578978567326752,5344253.0,28331220.027508028,218754.5750000007,0.007721325618437973,0.0,0.0,0.9999814756497416,0.012985569531148695,1.0,0.0
Long-tenure,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,735,0.08979591836734693,176260.0,1081894.4500000086,209191.51500000007,0.19335667633751003,7.7813896380881475,1.5700680272108845,0.85578231292517,0.0,0.0,0.0
Established,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,28587,0.023087417357540142,2830113.0,16782203.294995654,207969.54750000138,0.012392267203795378,0.0,0.0,1.0,0.019974114107811244,1.0,0.0
Unknown tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,14327,0.03762127451664689,1866158.0,8986311.684999812,196660.19750000042,0.02188441758906168,0.0,0.0,0.9997906051511133,0.026174356110839674,1.0,0.0
Early lifecycle,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,18363,0.015302510483036541,2119536.0,14144117.877500001,186275.73249999998,0.013169837392003166,13.853477221037837,17.660676360071882,0.937319610085498,0.004955617273865926,0.0,0.0
Unknown tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,11130,0.04366576819407008,1658370.0,7966832.575000845,184140.9049999995,0.023113439785067903,0.0,0.0,0.9997304582210242,0.031626235399820304,1.0,0.0
Established,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,33310,0.010507355148604023,3297739.6666666665,24367585.179167666,179224.55416666676,0.007355039608926427,13.572748005954741,16.365956169318522,1.0,0.006604623236265386,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,3578,0.06512017887087758,533122.0,3604049.9950000597,164882.28250000026,0.04574916627925344,7.65182125059038,1.5069871436556737,0.9938513135830073,0.04499720514253773,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3075,0.07089430894308943,434232.99999999994,2939883.992499959,155005.82500000007,0.05272515017444254,7.685086945960783,1.5313821138211383,0.9941463414634146,0.04065040650406504,0.0,0.0
Long-tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,8956,0.030482358195623047,886580.0,5822616.86500019,112976.49999999983,0.019403045506755343,0.0,0.0,0.9998883430102724,0.02300133988387673,1.0,0.0
Established,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,2519,0.0853513298928146,375331.0,2010552.7324998714,106559.21250000021,0.05299995905479541,0.0,0.0,0.9952362048431918,0.05795950774116713,1.0,0.0
Unknown tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,22474,0.0168194357924713,2224976.0,10880832.949998697,84645.9899999997,0.007779366744161791,0.0,0.0,1.0,0.013882708908071549,1.0,0.0
Early lifecycle,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,2291,0.04757747708424269,341581.0,2139079.6700000004,82936.945,0.038772256201191416,14.52394391493983,20.884766477520735,0.6569183762549106,0.0,0.0,0.0
Established,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2154,0.07242339832869081,303682.0,1638129.4149999546,76685.27750000017,0.04681271015452848,0.0,0.0,0.9967502321262767,0.04688950789229341,1.0,0.0
Long-tenure,High engagement,Low revenue,Elite value,Protect high-value customer,Premium save budget,1064,0.045112781954887216,237137.66666666666,1965631.4383333328,74763.01083333333,0.038035111453409196,14.151203262357798,19.097744360902254,0.9990601503759399,0.0,0.0,0.0
Established,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,11991,0.020848970060878994,1187109.0,6557995.3724989295,70154.36999999978,0.01069753270857637,0.0,0.0,1.0,0.01759653073138187,1.0,0.0
Unknown tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,4110,0.01727493917274939,618871.6666666667,3228853.6150000026,60599.63000000003,0.01876815651179652,0.0,0.0,0.9992700729927008,0.0,1.0,0.0
Established,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,6084,0.024819197896120974,602316.0,3732660.3600001656,48722.602500000095,0.013053050050339413,7.569103373329465,1.4916173570019724,1.0,0.023175542406311637,0.0,0.0
Established,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,857,0.052508751458576426,128881.33333333334,754643.1966666662,46035.32916666664,0.061002775046550814,0.0,0.0,0.9941656942823804,0.0,1.0,0.0
Long-tenure,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,2814,0.028073916133617625,278586.0,1912102.334999918,37731.622499999976,0.019733056023908676,7.623987604993031,1.4893390191897655,1.0,0.01812366737739872,0.0,0.0
Long-tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3829,0.025332985113606685,379830.333333333,2344046.2608332713,37621.93499999997,0.016049996806217454,0.0,0.0,1.0,0.01854270044398015,1.0,0.0
Established,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,671,0.09090909090909091,99979.0,594964.0774999957,32410.852500000037,0.054475309898016945,7.597909983953052,1.5394932935916543,0.9731743666169895,0.07749627421758569,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,1313,0.01904036557501904,199605.00000000003,1377886.4124999926,26037.829999999994,0.018896935018582407,7.681805402612753,1.511043412033511,0.9923838537699924,0.0,0.0,0.0
Long-tenure,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1163,0.03267411865864144,115396.33333333333,792396.1175000113,20273.012499999993,0.025584441988384304,7.628783729246618,1.5021496130696474,1.0,0.017196904557179708,0.0,0.0
Established,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,677,0.05465288035450517,93963.0,571436.4174999981,19242.24250000001,0.033673462017320716,7.642386312399499,1.5480059084194977,0.9852289512555391,0.04431314623338257,0.0,0.0
Early lifecycle,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,16442,0.0020070551027855494,1627636.0,11045004.880000176,16528.557500000003,0.001496473535283738,13.642400176972536,16.807383529984186,0.9998175404452013,0.0008514779223938694,0.0,0.0
Established,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2517,0.01986491855383393,249183.0,1548199.867500045,16248.375000000013,0.010495011232779052,7.5552652063063395,1.4866905045689314,1.0,0.018275725069527213,0.0,0.0
Early lifecycle,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,6919,0.0028905911258852437,684981.0,4638254.692500011,9646.065,0.0020796755761596153,13.610422450373862,16.645035409741293,1.0,0.001734354675531146,0.0,0.0
Early lifecycle,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1848,0.015692640692640692,203104.0,983433.8800000027,7249.807500000002,0.0073719318069456604,0.0,0.0,1.0,0.015692640692640692,1.0,0.0
Early lifecycle,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1282,0.0093603744149766,136549.0,761807.0524999981,4775.1275,0.00626815869494725,7.473390353059381,1.6224648985959438,0.9976599063962559,0.0078003120124804995,0.0,0.0
Early lifecycle,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,2867,0.006627136379490757,283833.0,1509502.9949999421,3931.785000000001,0.0026046884391906435,0.0,0.0,1.0,0.006627136379490757,1.0,0.0
Established,Low engagement,Low revenue,Low value,Low-cost automated retention,Automation only,526,0.009505703422053232,52074.0,325025.414999999,1496.1375000000003,0.004603140034449321,3.638041240357065,1.032319391634981,1.0,0.009505703422053232,0.0,0.0
Early lifecycle,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,528,0.00946969696969697,52272.0,292290.57000000094,1174.3875,0.004017876799788636,7.543664445565033,1.5454545454545454,1.0,0.00946969696969697,0.0,0.0
