lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,major_activity_drop_rate,leakage_priority_score,leakage_strategy_readout
Long-tenure,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,54901,0.20209103659314037,127944007.65249597,62930292.620000176,14.525390454680899,21.097247773264602,0.5741971913079907,0.0,0.0,0.0,62930292.620000176,Model should prioritize
Established,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,25445,0.20204362350167027,49922179.6775011,22945289.31500009,14.527863480896238,21.068382786402044,0.5209274906661426,0.0,0.0,0.0,22945289.31500009,Model should prioritize
Long-tenure,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,9436,0.26494277236117,17799195.700000018,6194712.907499996,14.051332842823653,18.222128020347604,1.0,1.0,0.0,0.0,12389425.814999992,Model should prioritize
Long-tenure,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,2292,0.9280104712041884,9638644.935833326,9461020.74666666,14.58849678482153,21.461605584642236,0.005235602094240838,0.0,0.0,0.0,9461020.74666666,Model should prioritize
Established,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,4689,0.3727873747067605,6724748.777500005,2651515.9449999984,13.850324636895238,17.038174450842398,1.0,1.0,0.0,0.0,5303031.889999997,Model should prioritize
Long-tenure,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,124683,0.035321575515507325,151118556.12750688,4472402.252499987,14.281454380125847,19.55767025175846,0.9309047745081527,0.012078631409253868,0.0,0.0,4526422.750821851,Watchlist segment
Long-tenure,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,103171,0.040205096393366356,119979117.97083457,4177921.7999999877,14.220483770154036,19.323026819552005,0.9456630254625815,0.010671603454459102,0.0,0.0,4222506.924713328,Watchlist segment
Early lifecycle,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,9180,0.15261437908496733,13038361.309999881,3657180.930000003,14.498483416565751,20.783769063180827,0.6099128540305011,0.0,0.0,0.0,3657180.930000003,Model should prioritize
Established,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,1016,0.9005905511811023,2752021.512500001,2657632.2825000007,14.619778079676868,21.700787401574804,0.0,0.0,0.0,0.0,2657632.2825000007,Model should prioritize
Long-tenure,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,48061,0.02548844177191486,59605365.917495355,1432689.4616666671,14.320088923990637,19.748132581510998,0.9186658621335386,0.0,0.0,0.0,1432689.4616666671,"Monitor, do not overspend"
Long-tenure,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,1607,0.3634100808960797,2428117.6941666966,1194932.4833333283,0.0,0.0,0.9682638456751711,0.0,1.0,0.0,1194932.4833333283,Model should prioritize
Unknown tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,1821,0.8116419549697969,716083.0950000193,572588.3475000038,0.0,0.0,1.0,1.0,1.0,0.0,1145176.6950000075,Model should prioritize
Long-tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,946,0.8044397463002114,725348.5633333332,562121.1808333353,0.0,0.0,1.0,1.0,1.0,0.0,1124242.3616666705,Model should prioritize
Established,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,30789,0.04137841436876807,32846202.93500004,1061035.3324999993,14.392218395540372,20.333755562051383,0.7899574523368735,0.01351131897755692,0.0,0.0,1075371.319323865,Watchlist segment
Early lifecycle,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,996,0.40763052208835343,1229253.8374999992,508324.53749999986,13.735349130759728,16.211847389558233,1.0,1.0,0.0,0.0,1016649.0749999997,Model should prioritize
Long-tenure,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,51409,0.02312824602696026,41424922.239998624,889062.1349999997,13.813395829667957,17.52751463751483,0.999708222295707,0.003968176778385108,0.0,0.0,892590.090718648,"Monitor, do not overspend"
Long-tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,13578,0.0810134040359405,13008761.2525003,833815.5475000165,0.0,0.0,0.9989689203122698,0.03638238326704964,1.0,0.0,864151.7443231869,Reactivation strategy needed
Established,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,977,0.8894575230296827,489008.47666666965,425879.891666669,0.0,0.0,1.0,1.0,1.0,0.0,851759.783333338,Model should prioritize
Established,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,28216,0.032463850297703434,28830556.267499927,753472.1674999999,14.348014342162688,20.161185143181175,0.8505812305075134,0.01041962007371704,0.0,0.0,761323.0612214699,Watchlist segment
Long-tenure,High engagement,Medium revenue,Elite value,Premium win-back,Premium save budget,573,0.9022687609075044,407538.3650000003,365912.2350000002,13.21195863768752,13.162303664921465,1.0,1.0,0.0,0.0,731824.4700000004,Model should prioritize
Long-tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,10489,0.09247783392125083,9396449.930834128,700088.2416666661,0.0,0.0,0.9995233101344265,0.0373724854609591,1.0,0.0,726252.2792997421,Reactivation strategy needed
Long-tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,5283,0.07211811470755253,5134217.909166211,444790.50416666444,0.0,0.0,0.9990535680484574,0.0,1.0,0.0,444790.50416666444,Reactivation strategy needed
Established,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,79256,0.0107625921065913,57958985.36999282,426008.8949999992,13.56969669695212,16.368325426466136,0.9998485919047139,0.006838598970424952,0.0,0.0,428922.1989907381,"Monitor, do not overspend"
