lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,monthly_revenue_baseline_proxy,profit_adjusted_clv_proxy,future_churned_clv_proxy,clv_leakage_rate,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,major_activity_drop_rate
Long-tenure,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,54901,0.20209103659314037,18944138.0,127944007.65249597,62930292.620000176,0.49185806959340245,14.525390454680899,21.097247773264602,0.5741971913079907,0.0,0.0,0.0
Established,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,25445,0.20204362350167027,8206658.0,49922179.6775011,22945289.315000094,0.45962114361246664,14.527863480896238,21.068382786402044,0.5209274906661426,0.0,0.0,0.0
Long-tenure,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,2292,0.9280104712041884,1628147.3333333333,9638644.935833324,9461020.746666662,0.9815716638231674,14.58849678482153,21.461605584642236,0.005235602094240838,0.0,0.0,0.0
Long-tenure,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,9436,0.26494277236117,3487557.333333333,17799195.70000002,6194712.907499997,0.34803330509479086,14.051332842823653,18.222128020347604,1.0,1.0,0.0,0.0
Long-tenure,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,124683,0.035321575515507325,18577767.0,151118556.12750685,4472402.252499988,0.029595321495305856,14.281454380125847,19.55767025175846,0.9309047745081527,0.012078631409253868,0.0,0.0
Long-tenure,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,103171,0.040205096393366356,14727364.0,119979117.97083457,4177921.7999999877,0.034822074629816735,14.220483770154036,19.323026819552005,0.9456630254625815,0.010671603454459102,0.0,0.0
Early lifecycle,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,9180,0.15261437908496733,2239009.0,13038361.309999881,3657180.9300000034,0.2804939089389322,14.498483416565751,20.783769063180827,0.6099128540305011,0.0,0.0,0.0
Established,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,1016,0.9005905511811023,518493.3333333334,2752021.512500001,2657632.2825000007,0.9657018560460834,14.619778079676866,21.700787401574804,0.0,0.0,0.0,0.0
Established,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,4689,0.3727873747067605,1533684.0,6724748.777500005,2651515.9449999984,0.39429219331903825,13.850324636895238,17.038174450842398,1.0,1.0,0.0,0.0
New customer,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,447,0.796420581655481,386371.0,1702419.03,1537281.3299999998,0.902998206029217,13.980310663056251,13.78523489932886,0.14317673378076062,0.0,0.0,0.0
Long-tenure,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,48061,0.02548844177191486,7305869.666666668,59605365.917495355,1432689.4616666671,0.02403624975056389,14.320088923990637,19.748132581510998,0.9186658621335386,0.0,0.0,0.0
Long-tenure,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,1607,0.3634100808960797,411363.6666666668,2428117.6941666966,1194932.4833333283,0.49212296677547007,0.0,0.0,0.9682638456751711,0.0,1.0,0.0
Established,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,30789,0.04137841436876807,4587561.0,32846202.935000036,1061035.3324999996,0.03230313514775824,14.392218395540374,20.333755562051383,0.7899574523368735,0.01351131897755692,0.0,0.0
Long-tenure,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,51409,0.02312824602696026,5088846.0,41424922.23999862,889062.1349999997,0.021462010956813552,13.813395829667957,17.52751463751483,0.999708222295707,0.003968176778385108,0.0,0.0
