lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline
Long-tenure,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,14690,0.817426820966644,0.8140968161436886,1.261061946902655,72578474.78916657,66933351.19250099,831.7606761969595
Established,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,7391,0.8193749154376945,0.8154135054039657,1.0819916114192938,27177197.254998144,24622967.524998445,697.0002705993776
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2367,0.9286016054076891,0.918927817543274,3.8652302492606676,9732401.174166724,9551678.760000024,695.4295169694411
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2865,0.5256544502617801,0.522094332185104,1.068760907504363,5516467.937499996,3826643.274999991,402.5657940663176
Established,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1039,0.9056785370548605,0.8961426031944747,2.803657362848893,2773199.184166661,2680643.4741666624,503.0522938723132
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3666,0.7244953627932351,0.7166563654000304,3.9871794871794872,3612146.904166699,2584617.0458333446,138.206401163848
Long-tenure,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,3267,0.8062442607897153,0.798029821280987,3.1068258340985615,3179716.247500004,2497911.6174999923,149.0
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1477,0.906567366283006,0.903488314290744,3.1665538253215977,2096997.9550000266,1893994.5483333596,299.69329722410293
Long-tenure,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,21809,0.06272639735888853,0.06483540044308589,1.1078912375624743,30870258.683333762,1851637.1250000019,217.92785852935333
New customer,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,419,0.9093078758949881,0.9063085147500588,1.0,1634239.0350000008,1556902.945000001,906.5751789976134
Long-tenure,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,35210,0.036523714853734734,0.03415158829968985,1.347855722806021,40914655.372498825,1352287.4949999996,149.0
Long-tenure,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32245,0.0327182508916111,0.03235189667428164,1.298743991316483,36250819.85416724,1109278.289166666,142.41706724556784
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1362,0.7812041116005873,0.764060671559415,4.417033773861967,1403639.1524999968,1023437.7074999979,155.62310327949066
Established,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,16438,0.047998539968365984,0.052106730462802786,1.0006083465141744,20881249.610000122,911713.6925,200.62708358681104
Established,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1095,0.9205479452054794,0.9153417885703464,1.2127853881278539,941179.8066666628,814373.841666662,247.4027397260274
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1555,0.9877813504823151,0.9831212427594846,1.342122186495177,825523.07499998,813564.5049999803,241.07073954983923
Long-tenure,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,1621,0.5774213448488588,0.5872137683939309,5.370758790869833,1251578.5424999958,689342.9399999984,99.0
Established,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,14501,0.05096200262050893,0.0474940413402739,1.2400524101786083,14511209.83000019,656768.9050000001,149.0
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,79557,0.006511054966879093,0.007810943518050072,1.1892730997900876,98928817.45499401,639708.7775000001,149.0
Long-tenure,No observed activity,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,985,0.9258883248730965,0.9032429628873783,3.52994923857868,670274.6374999922,607888.7099999937,149.0
Long-tenure,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,14564,0.035361164515243064,0.03663378231626922,2.353886294973908,17306097.954166695,542220.3691666668,153.28575025176207
Early lifecycle,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,347,0.9106628242074928,0.9030267897008092,2.5792507204610953,535920.1141666668,511252.64666666684,342.9663784822287
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,848,0.8903301886792453,0.863301350310357,3.7535377358490565,566518.6041666667,490417.17833333527,143.06407232704402
Long-tenure,No observed activity,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,615,0.7983739837398374,0.7703804276089968,6.803252032520326,647968.7716666664,477895.5999999994,186.97018970189694
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,55977,0.00685996034085428,0.0077348343626392705,1.1730353538060274,68351989.81000033,473785.8775,146.24874502027617
Established,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,9474,0.04823728097952291,0.04752060045578614,1.2304200971078743,9457293.787500018,408689.7749999997,148.63742875237492
Established,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,904,0.9015486725663717,0.8687622673184997,1.8174778761061947,464757.47500000003,400694.57999999996,98.97123893805309
Long-tenure,Medium engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,358,0.723463687150838,0.7337935099859421,1.388268156424581,520304.6224999993,370587.32749999955,335.3659217877095
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,856,0.552570093457944,0.5517935338547323,6.793224299065421,694387.7199999983,362423.66333333345,102.97819314641742
Established,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,648,0.7854938271604939,0.774113189732374,1.617283950617284,479615.72750000027,358979.36749999993,149.0
Long-tenure,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,27838,0.007866944464401178,0.00842867297041859,1.004921330555356,42294469.880000904,340017.2100000001,196.14707713676748
Early lifecycle,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,7122,0.041982589160348215,0.04302208268058102,1.0001404099971918,8531866.882500034,336426.35,191.26579612468407
Established,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,629,0.6597774244833068,0.6602994949662745,1.6120826709062004,471710.7524999992,300928.45249999966,138.43826179120296
Established,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,5796,0.051932367149758456,0.05010137488660257,1.2232574189095928,5735169.11500005,264809.5125000001,149.0698757763975
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,30147,0.005804889375393903,0.007774234794003353,1.7195409161773973,38094870.49333391,218004.5075,151.49933105560478
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,861,0.9732868757259001,0.9543380483276964,1.1939605110336817,229320.84499999805,217190.8699999983,98.92566782810685
Long-tenure,High engagement,No observed revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,313,0.7603833865814696,0.7834597544236215,3.1405750798722045,277247.65249999985,207225.10249999992,149.0
