clv_rank_decile,customers,future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_profit_adjusted_clv_proxy,avg_monthly_value_baseline,avg_engagement_score,auto_renew_rate,cancellation_signal_rate,clv_share,future_churned_clv_share,cumulative_clv_share,cumulative_future_churned_clv_share,decile_label,clv_share_display,future_churned_clv_share_display,future_churned_clv_display,customer_display,top_decile_flag
1,97096,0.2125731235066326,232783678.03127536,109644210.07583162,2397.458989363881,351.9917950619278,15.371238566353396,0.8138234324791959,0.0820528137101425,0.2389090562832111,0.7962649485896355,0.2389090562832111,0.7962649485896355,CLV Decile 1,23.89%,79.63%,$109.64M,"97,096",Top 10% by CLV
2,97096,0.0249340858531762,128102142.16596778,3201967.578333389,1319.3349073696936,156.49662876603165,15.028697568351776,0.9970544615638132,0.0138316717475488,0.1314729716085044,0.0232535265417477,0.3703820278917156,0.8195184751313832,CLV Decile 2,13.15%,2.33%,$3.20M,"97,096",Other CLV decile
3,97096,0.0290434209442201,116800707.37826596,3391617.5583332023,1202.940464882858,152.4348445524704,14.205174817923448,0.950008239268353,0.0109994232512152,0.1198741553056993,0.0246308143298592,0.4902561831974149,0.8441492894612425,CLV Decile 3,11.99%,2.46%,$3.39M,"97,096",Other CLV decile
4,97096,0.0336059157946774,105706527.04085883,3547891.490000156,1088.6805536876786,151.69766004778785,12.599512960893817,0.9254037241492956,0.0115658729504819,0.1084880470653716,0.0257657165201219,0.5987442302627866,0.8699150059813644,CLV Decile 4,10.85%,2.58%,$3.55M,"97,096",Other CLV decile
5,97096,0.0611353711790393,92218244.12665276,5652753.2533336235,949.763575499019,141.9644166598007,9.906132681574036,0.7794656834473099,0.0214632940594875,0.0946448387735901,0.0410517735094499,0.6933890690363768,0.9109667794908144,CLV Decile 5,9.46%,4.11%,$5.65M,"97,096",Other CLV decile
6,97096,0.0420202686001483,80483744.3691003,3388209.9658333613,828.9089598860952,114.83454862541532,13.616531923061752,0.8488712202356431,0.0192180934333031,0.0826015619994524,0.0246060675013233,0.7759906310358292,0.9355728469921376,CLV Decile 6,8.26%,2.46%,$3.39M,"97,096",Other CLV decile
7,97096,0.0308045645546675,71782212.6450309,2202456.7066665855,739.2911411904805,115.60520172475351,10.725809729454452,0.9197495262420696,0.0170655845760896,0.0736710615880939,0.0159948170094148,0.8496616926239231,0.9515676640015526,CLV Decile 7,7.37%,1.60%,$2.20M,"97,096",Other CLV decile
8,97096,0.0230905495591991,63790832.85253486,1484690.859166695,656.9872379143823,103.01164483260553,9.308422635041406,0.9666206640850292,0.0155722171871137,0.0654693997672447,0.0107822135781564,0.915131092391168,0.962349877579709,CLV Decile 8,6.55%,1.08%,$1.48M,"97,096",Other CLV decile
9,97096,0.0423395402488259,54778757.93003191,2357944.4308331497,564.171108284913,103.80055477740244,2.169404213545542,0.9776200873362444,0.0408976682870561,0.0562201846457296,0.0171240095550511,0.9713512770368976,0.97947388713476,CLV Decile 9,5.62%,1.71%,$2.36M,"97,096",Other CLV decile
10,97096,0.399872291340529,27914199.67916332,2826407.761666317,287.49072751877856,62.80873225124283,4.235391175184748,0.6028054708741863,0.085029249402653,0.0286487229631023,0.0205261128652397,1.0,1.0,CLV Decile 10,2.86%,2.05%,$2.83M,"97,096",Other CLV decile
